what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.jst.jsp,3.3.0.v20120302-0221-H55-Beta1,"org.jboss.tools.jst.jsp",1337655808370
started,bundle,org.jboss.tools.common.el.core,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.el.core",1337655808376
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1337655811732
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1337655811999
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1337655827520
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1337655827564
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1337655827573
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1337655827577
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1337655827597
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1337655827601
started,bundle,org.jboss.ide.eclipse.archives.core,3.2.1.v20120302-0154-H54-Beta1,"org.jboss.ide.eclipse.archives.core",1337655827636
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.0.v20120308-1629-H87-Beta1,"org.jboss.ide.eclipse.archives.webtools",1337655827642
started,bundle,org.jboss.ide.eclipse.as.wtp.core,2.3.0.v20120308-1629-H87-Beta1,"org.jboss.ide.eclipse.as.wtp.core",1337655827643
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1337655827684
started,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.3.0.v20120308-1629-H87-Beta1,"org.jboss.ide.eclipse.as.ui.mbeans",1337655827689
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1337655827695
