what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1337981766748
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1337981766748
stopped,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1337981766749
stopped,bundle,com.atlassian.connector.eclipse.directclickthrough.ui,3.0.2.v20111010,"com.atlassian.connector.eclipse.directclickthrough.ui",1337981766862
stopped,bundle,com.atlassian.connector.eclipse.bamboo.ui,3.0.2.v20111010,"com.atlassian.connector.eclipse.bamboo.ui",1337981766863
stopped,bundle,com.atlassian.connector.eclipse.bamboo.core,3.0.2.v20111010,"com.atlassian.connector.eclipse.bamboo.core",1337981766927
stopped,bundle,com.atlassian.connector.eclipse.fisheye.ui,3.0.2.v20111010,"com.atlassian.connector.eclipse.fisheye.ui",1337981766927
stopped,bundle,com.atlassian.connector.eclipse.fisheye.core,3.0.2.v20111010,"com.atlassian.connector.eclipse.fisheye.core",1337981766927
stopped,bundle,com.atlassian.connector.eclipse.ui,3.0.2.v20111010,"com.atlassian.connector.eclipse.ui",1337981766927
stopped,bundle,com.atlassian.connector.eclipse.core,3.0.2.v20111010,"com.atlassian.connector.eclipse.core",1337981766927
stopped,bundle,com.atlassian.connector.eclipse.jira.ui,3.0.2.v20111010,"com.atlassian.connector.eclipse.jira.ui",1337981767100
stopped,bundle,com.atlassian.connector.eclipse.jira.core,3.0.2.v20111010,"com.atlassian.connector.eclipse.jira.core",1337981767112
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.0.0.v201104110000,"org.eclipse.jpt.dbws.eclipselink.ui",1337981767112
stopped,bundle,org.springframework.ide.eclipse.aop.ui.matcher,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.aop.ui.matcher",1337981767112
stopped,bundle,org.springframework.ide.eclipse.aop.ui,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.aop.ui",1337981767112
stopped,bundle,org.springframework.ide.eclipse.security,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.security",1337981767112
stopped,bundle,org.springframework.ide.eclipse.aop.core,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.aop.core",1337981767114
stopped,bundle,org.springframework.ide.eclipse.beans.ui.autowire,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.beans.ui.autowire",1337981767114
stopped,bundle,org.springframework.ide.eclipse.beans.core.autowire,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.beans.core.autowire",1337981767114
stopped,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.beans.ui.refactoring",1337981767114
stopped,bundle,org.springframework.ide.eclipse.integration,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.integration",1337981767114
stopped,bundle,org.springframework.ide.eclipse.osgi,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.osgi",1337981767114
stopped,bundle,org.springframework.ide.eclipse.beans.ui.editor,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.beans.ui.editor",1337981767114
stopped,bundle,org.springframework.ide.eclipse.beans.ui.graph,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.beans.ui.graph",1337981767115
stopped,bundle,org.springframework.ide.eclipse.beans.ui.search,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.beans.ui.search",1337981767115
stopped,bundle,org.springframework.ide.eclipse.beans.ui,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.beans.ui",1337981767115
stopped,bundle,org.springframework.ide.eclipse.beans.core.metadata,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.beans.core.metadata",1337981767115
stopped,bundle,org.springframework.ide.eclipse.beans.core,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.beans.core",1337981767192
stopped,bundle,org.springframework.ide.eclipse.ui,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.ui",1337981767192
stopped,bundle,org.springframework.ide.eclipse.core,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.core",1337981767192
stopped,bundle,org.eclipse.datatools.enablement.hsqldb.ui,1.0.0.v201108120600,"org.eclipse.datatools.enablement.hsqldb.ui",1337981767192
stopped,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1337981767192
stopped,bundle,org.eclipse.datatools.enablement.postgresql.ui,1.0.0.v201107221506,"org.eclipse.datatools.enablement.postgresql.ui",1337981767193
stopped,bundle,org.eclipse.datatools.enablement.sqlite.ui,1.0.0.v201107221507,"org.eclipse.datatools.enablement.sqlite.ui",1337981767193
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.ui,2.0.1.v201108080010,"org.eclipse.jpt.jpa.eclipselink.ui",1337981767193
